solver_name,sampler_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,N/A,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.7400527000427246
OpenJij,N/A,ENZYMES_g154,9,16,exact,85,85,True,53,56,27,26,26,1.0384615384615385,0.9099874496459961
OpenJij,N/A,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,1.8454620838165283
OpenJij,N/A,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,1.4236135482788086
OpenJij,N/A,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,1.6037847995758057
OpenJij,N/A,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,2.0968470573425293
OpenJij,N/A,iscas89-s27,9,8,exact,52,52,False,,25,12,11,11,,0.8472685813903809
OpenJij,N/A,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,1.950500726699829
QWaveSampler_path,path,ENZYMES_g124,14,31,exact,272,272,True,104,126,75,61,61,0.7049180327868853,11.17699146270752
QWaveSampler_path,path,ENZYMES_g154,9,16,exact,85,85,True,28,56,27,26,26,0.07692307692307693,3.28434681892395
QWaveSampler_path,path,ENZYMES_g487,15,27,exact,274,274,True,108,97,49,44,44,1.4545454545454546,13.468023538589478
QWaveSampler_path,path,PROTEINS_g1046,13,22,exact,190,190,True,85,109,34,41,34,1.5,9.15738320350647
QWaveSampler_path,path,PROTEINS_g670,14,27,exact,247,247,True,104,144,46,75,46,1.2608695652173914,11.149171352386475
QWaveSampler_path,path,PROTEINS_g751,15,28,exact,282,282,True,150,147,60,45,45,2.3333333333333335,13.472184896469116
QWaveSampler_path,path,iscas89-s27,9,8,exact,52,52,True,14,25,12,11,11,0.2727272727272727,3.2916417121887207
QWaveSampler_path,path,wafa-padgett,15,27,exact,274,274,True,106,138,82,68,68,0.5588235294117647,13.448842287063599
SimulatedBifurcation,N/A,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,2.3526253700256348
SimulatedBifurcation,N/A,ENZYMES_g154,9,16,exact,85,85,True,34,56,27,26,26,0.3076923076923077,1.1003079414367676
SimulatedBifurcation,N/A,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,2.7251088619232178
SimulatedBifurcation,N/A,PROTEINS_g1046,13,22,exact,190,190,True,73,109,34,41,34,1.1470588235294117,2.046337127685547
SimulatedBifurcation,N/A,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,2.3827576637268066
SimulatedBifurcation,N/A,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,2.7237138748168945
SimulatedBifurcation,N/A,iscas89-s27,9,8,exact,52,52,True,16,25,12,11,11,0.45454545454545453,1.1280694007873535
SimulatedBifurcation,N/A,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,2.6826140880584717
OpenJij,N/A,ENZYMES_g124,14,31,lucas,13,7,True,62,126,75,61,61,0.01639344262295082,2.0452640056610107
