solver_name,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,alchemy_g157394_preprocessed,12,13,exact,113,113,False,,40,28,25,25,,1.3507983684539795
OpenJij,alchemy_g157395_preprocessed,12,13,exact,113,113,False,,35,24,22,22,,1.2686545848846436
OpenJij,alchemy_g157396_preprocessed,12,13,exact,113,113,False,,27,26,21,21,,1.3030002117156982
OpenJij,alchemy_g157397_preprocessed,12,13,exact,113,113,False,,57,23,21,21,,1.2740800380706787
OpenJij,alchemy_g157398_preprocessed,12,12,exact,106,106,False,,19,17,17,17,,1.257537603378296
OpenJij,ENZYMES_g163,12,22,exact,168,168,False,,85,43,53,43,,1.2546594142913818
OpenJij,ENZYMES_g217,15,34,exact,324,324,False,,161,97,72,72,,2.0130600929260254
OpenJij,ENZYMES_g398,14,23,exact,219,219,False,,116,54,55,54,,1.6748483180999756
OpenJij,iscas89-s27,9,8,exact,52,52,False,,25,13,12,12,,0.8291709423065186
OpenJij,PROTEINS_g176_preprocessed,15,33,exact,317,317,False,,153,84,68,68,,2.0722732543945312
OpenJij,PROTEINS_g347_preprocessed,15,27,exact,274,274,False,,123,45,65,45,,1.884122371673584
OpenJij,PROTEINS_g373_preprocessed,15,25,exact,258,258,False,,143,40,47,40,,1.7880947589874268
OpenJij,PROTEINS_g42_preprocessed,15,25,exact,258,258,False,,121,47,49,47,,1.8112237453460693
OpenJij,PROTEINS_g96_preprocessed,15,26,exact,266,266,False,,150,70,51,51,,1.8692035675048828
QWaveSampler,alchemy_g157394_preprocessed,12,13,exact,113,113,True,43,40,28,25,25,0.72,37.03515386581421
QWaveSampler,alchemy_g157395_preprocessed,12,13,exact,113,113,True,39,35,24,22,22,0.7727272727272727,36.81181526184082
QWaveSampler,alchemy_g157396_preprocessed,12,13,exact,113,113,True,32,27,26,21,21,0.5238095238095238,36.95668292045593
QWaveSampler,alchemy_g157397_preprocessed,12,13,exact,113,113,True,25,57,23,21,21,0.19047619047619047,37.050633907318115
QWaveSampler,alchemy_g157398_preprocessed,12,12,exact,106,106,True,27,19,17,17,17,0.5882352941176471,36.92419767379761
QWaveSampler,ENZYMES_g163,12,22,exact,168,168,True,68,85,43,53,43,0.5813953488372093,36.91876292228699
QWaveSampler,ENZYMES_g217,15,34,exact,324,324,True,166,161,97,72,72,1.3055555555555556,70.39815998077393
QWaveSampler,ENZYMES_g398,14,23,exact,219,219,True,92,116,54,55,54,0.7037037037037037,57.1416392326355
QWaveSampler,iscas89-s27,9,8,exact,52,52,True,14,25,13,12,12,0.16666666666666666,16.071698665618896
QWaveSampler,PROTEINS_g176_preprocessed,15,33,exact,317,317,True,164,153,84,68,68,1.411764705882353,70.67767834663391
QWaveSampler,PROTEINS_g347_preprocessed,15,27,exact,274,274,True,125,123,45,65,45,1.7777777777777777,70.53902435302734
QWaveSampler,PROTEINS_g373_preprocessed,15,25,exact,258,258,True,127,143,40,47,40,2.175,70.31860947608948
QWaveSampler,PROTEINS_g42_preprocessed,15,25,exact,258,258,True,96,121,47,49,47,1.0425531914893618,69.61786556243896
QWaveSampler,PROTEINS_g96_preprocessed,15,26,exact,266,266,True,119,150,70,51,51,1.3333333333333333,70.06106376647949
SimulatedBifurcation,alchemy_g157394_preprocessed,12,13,exact,113,113,True,48,40,28,25,25,0.92,1.6725969314575195
SimulatedBifurcation,alchemy_g157395_preprocessed,12,13,exact,113,113,True,43,35,24,22,22,0.9545454545454546,1.720566987991333
SimulatedBifurcation,alchemy_g157396_preprocessed,12,13,exact,113,113,True,36,27,26,21,21,0.7142857142857143,1.684345006942749
SimulatedBifurcation,alchemy_g157397_preprocessed,12,13,exact,113,113,True,38,57,23,21,21,0.8095238095238095,1.6748647689819336
SimulatedBifurcation,alchemy_g157398_preprocessed,12,12,exact,106,106,True,57,19,17,17,17,2.3529411764705883,1.6681747436523438
SimulatedBifurcation,ENZYMES_g163,12,22,exact,168,168,True,94,85,43,53,43,1.186046511627907,1.6647295951843262
SimulatedBifurcation,ENZYMES_g217,15,34,exact,324,324,False,,161,97,72,72,,2.5869808197021484
SimulatedBifurcation,ENZYMES_g398,14,23,exact,219,219,True,100,116,54,55,54,0.8518518518518519,2.2788166999816895
SimulatedBifurcation,iscas89-s27,9,8,exact,52,52,True,16,25,13,12,12,0.3333333333333333,1.059370756149292
SimulatedBifurcation,PROTEINS_g176_preprocessed,15,33,exact,317,317,False,,153,84,68,68,,2.6222500801086426
SimulatedBifurcation,PROTEINS_g347_preprocessed,15,27,exact,274,274,False,,123,45,65,45,,2.551971673965454
SimulatedBifurcation,PROTEINS_g373_preprocessed,15,25,exact,258,258,False,,143,40,47,40,,2.592193126678467
SimulatedBifurcation,PROTEINS_g42_preprocessed,15,25,exact,258,258,False,,121,47,49,47,,2.5927255153656006
SimulatedBifurcation,PROTEINS_g96_preprocessed,15,26,exact,266,266,True,139,150,70,51,51,1.7254901960784315,2.581817388534546
OpenJij,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,26,40,28,25,25,0.04,1.5822935104370117
OpenJij,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,22,35,24,22,22,0.0,1.5326077938079834
OpenJij,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,25,27,26,21,21,0.19047619047619047,1.5592880249023438
OpenJij,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,21,57,23,21,21,0.0,1.615919828414917
OpenJij,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,27,19,17,17,17,0.5882352941176471,1.573810338973999
OpenJij,ENZYMES_g163,12,22,lucas,6,6,True,35,85,43,53,43,-0.18604651162790697,1.4799871444702148
OpenJij,ENZYMES_g217,15,34,lucas,7,7,True,72,161,97,72,72,0.0,2.208172559738159
OpenJij,ENZYMES_g398,14,23,lucas,6,6,True,43,116,54,55,54,-0.2037037037037037,1.9859106540679932
OpenJij,iscas89-s27,9,8,lucas,4,4,True,11,25,13,12,12,-0.08333333333333333,0.9731326103210449
OpenJij,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,69,153,84,68,68,0.014705882352941176,2.247572422027588
OpenJij,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,43,123,45,65,45,-0.044444444444444446,2.229100465774536
OpenJij,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,55,143,40,47,40,0.375,2.214008331298828
OpenJij,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,39,121,47,49,47,-0.1702127659574468,2.2042856216430664
OpenJij,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,52,150,70,51,51,0.0196078431372549,2.2380588054656982
