solver_name,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,alchemy_g157394_preprocessed,12,13,exact,113,113,False,,40,28,25,25,,1.7257013320922852
OpenJij,alchemy_g157395_preprocessed,12,13,exact,113,113,False,,35,24,22,22,,1.6878719329833984
OpenJij,alchemy_g157396_preprocessed,12,13,exact,113,113,False,,27,26,21,21,,1.5707242488861084
OpenJij,alchemy_g157397_preprocessed,12,13,exact,113,113,False,,57,23,21,21,,1.5636720657348633
OpenJij,alchemy_g157398_preprocessed,12,12,exact,106,106,False,,19,17,17,17,,1.5355355739593506
OpenJij,ENZYMES_g163,12,22,exact,168,168,False,,85,43,53,43,,1.4917514324188232
OpenJij,ENZYMES_g217,15,34,exact,324,324,False,,161,97,72,72,,2.5256471633911133
OpenJij,ENZYMES_g398,14,23,exact,219,219,False,,116,54,55,54,,1.975510835647583
OpenJij,iscas89-s27,9,8,exact,52,52,False,,25,13,12,12,,1.3161840438842773
OpenJij,PROTEINS_g176_preprocessed,15,33,exact,317,317,False,,153,84,68,68,,2.423344135284424
OpenJij,PROTEINS_g347_preprocessed,15,27,exact,274,274,False,,123,45,65,45,,2.2065556049346924
OpenJij,PROTEINS_g373_preprocessed,15,25,exact,258,258,False,,143,40,47,40,,2.0957674980163574
OpenJij,PROTEINS_g42_preprocessed,15,25,exact,258,258,False,,121,47,49,47,,2.1481611728668213
OpenJij,PROTEINS_g96_preprocessed,15,26,exact,266,266,False,,150,70,51,51,,2.099942207336426
QWaveSampler,alchemy_g157394_preprocessed,12,13,exact,113,113,True,43,40,28,25,25,0.72,15.431214809417725
QWaveSampler,alchemy_g157395_preprocessed,12,13,exact,113,113,True,39,35,24,22,22,0.7727272727272727,15.384831428527832
QWaveSampler,alchemy_g157396_preprocessed,12,13,exact,113,113,True,32,27,26,21,21,0.5238095238095238,15.328305959701538
QWaveSampler,alchemy_g157397_preprocessed,12,13,exact,113,113,True,25,57,23,21,21,0.19047619047619047,15.369230031967163
QWaveSampler,alchemy_g157398_preprocessed,12,12,exact,106,106,True,27,19,17,17,17,0.5882352941176471,15.346460580825806
QWaveSampler,ENZYMES_g163,12,22,exact,168,168,True,68,85,43,53,43,0.5813953488372093,15.521038293838501
QWaveSampler,ENZYMES_g217,15,34,exact,324,324,True,166,161,97,72,72,1.3055555555555556,28.947428703308105
QWaveSampler,ENZYMES_g398,14,23,exact,219,219,True,92,116,54,55,54,0.7037037037037037,23.75155735015869
QWaveSampler,iscas89-s27,9,8,exact,52,52,True,14,25,13,12,12,0.16666666666666666,6.919033050537109
QWaveSampler,PROTEINS_g176_preprocessed,15,33,exact,317,317,True,164,153,84,68,68,1.411764705882353,28.87201428413391
QWaveSampler,PROTEINS_g347_preprocessed,15,27,exact,274,274,True,125,123,45,65,45,1.7777777777777777,28.977511405944824
QWaveSampler,PROTEINS_g373_preprocessed,15,25,exact,258,258,True,127,143,40,47,40,2.175,29.111774444580078
QWaveSampler,PROTEINS_g42_preprocessed,15,25,exact,258,258,True,96,121,47,49,47,1.0425531914893618,29.060567140579224
QWaveSampler,PROTEINS_g96_preprocessed,15,26,exact,266,266,True,119,150,70,51,51,1.3333333333333333,28.871973514556885
SimulatedBifurcation,alchemy_g157394_preprocessed,12,13,exact,113,113,True,48,40,28,25,25,0.92,2.0537004470825195
SimulatedBifurcation,alchemy_g157395_preprocessed,12,13,exact,113,113,True,43,35,24,22,22,0.9545454545454546,2.0292463302612305
SimulatedBifurcation,alchemy_g157396_preprocessed,12,13,exact,113,113,True,36,27,26,21,21,0.7142857142857143,2.025332450866699
SimulatedBifurcation,alchemy_g157397_preprocessed,12,13,exact,113,113,True,38,57,23,21,21,0.8095238095238095,2.0193281173706055
SimulatedBifurcation,alchemy_g157398_preprocessed,12,12,exact,106,106,True,57,19,17,17,17,2.3529411764705883,2.015772581100464
SimulatedBifurcation,ENZYMES_g163,12,22,exact,168,168,True,94,85,43,53,43,1.186046511627907,2.029592990875244
SimulatedBifurcation,ENZYMES_g217,15,34,exact,324,324,False,,161,97,72,72,,3.0432193279266357
SimulatedBifurcation,ENZYMES_g398,14,23,exact,219,219,True,100,116,54,55,54,0.8518518518518519,2.6985433101654053
SimulatedBifurcation,iscas89-s27,9,8,exact,52,52,True,16,25,13,12,12,0.3333333333333333,1.3186798095703125
SimulatedBifurcation,PROTEINS_g176_preprocessed,15,33,exact,317,317,False,,153,84,68,68,,3.157020330429077
SimulatedBifurcation,PROTEINS_g347_preprocessed,15,27,exact,274,274,False,,123,45,65,45,,3.2098782062530518
SimulatedBifurcation,PROTEINS_g373_preprocessed,15,25,exact,258,258,False,,143,40,47,40,,3.2232167720794678
SimulatedBifurcation,PROTEINS_g42_preprocessed,15,25,exact,258,258,False,,121,47,49,47,,3.2449193000793457
SimulatedBifurcation,PROTEINS_g96_preprocessed,15,26,exact,266,266,True,139,150,70,51,51,1.7254901960784315,3.23687744140625
OpenJij,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,26,40,28,25,25,0.04,1.9815266132354736
OpenJij,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,22,35,24,22,22,0.0,1.886685848236084
OpenJij,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,25,27,26,21,21,0.19047619047619047,1.8332459926605225
OpenJij,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,21,57,23,21,21,0.0,1.9232385158538818
OpenJij,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,27,19,17,17,17,0.5882352941176471,1.923917293548584
OpenJij,ENZYMES_g163,12,22,lucas,6,6,True,35,85,43,53,43,-0.18604651162790697,1.8556578159332275
OpenJij,ENZYMES_g217,15,34,lucas,7,7,True,72,161,97,72,72,0.0,2.582010269165039
OpenJij,ENZYMES_g398,14,23,lucas,6,6,True,43,116,54,55,54,-0.2037037037037037,2.3201611042022705
OpenJij,iscas89-s27,9,8,lucas,4,4,True,11,25,13,12,12,-0.08333333333333333,1.3347444534301758
OpenJij,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,69,153,84,68,68,0.014705882352941176,2.5344228744506836
OpenJij,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,43,123,45,65,45,-0.044444444444444446,2.5917959213256836
OpenJij,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,55,143,40,47,40,0.375,2.5602118968963623
OpenJij,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,39,121,47,49,47,-0.1702127659574468,2.574565887451172
OpenJij,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,52,150,70,51,51,0.0196078431372549,2.607372522354126
QWaveSampler,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,25,40,28,25,25,0.0,13.846101999282837
QWaveSampler,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,23,35,24,22,22,0.045454545454545456,10.938390493392944
QWaveSampler,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,21,27,26,21,21,0.0,10.960502862930298
