n,m,graph_id,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,solver
5,5,0,True,6.2,7,0.8857142857142858,0.454,5,PathIntegralAnnealingSampler
5,5,1,True,6.2,6,1.0333333333333334,0.432,5,PathIntegralAnnealingSampler
5,4,2,True,4.4,5,0.8800000000000001,0.449,5,PathIntegralAnnealingSampler
5,7,3,True,10.0,10,1.0,0.415,5,PathIntegralAnnealingSampler
5,5,4,True,7.0,7,1.0,0.432,5,PathIntegralAnnealingSampler
5,8,5,True,14.0,12,1.1666666666666667,0.43,5,PathIntegralAnnealingSampler
5,4,6,True,5.0,5,1.0,0.417,5,PathIntegralAnnealingSampler
5,6,7,True,10.2,8,1.275,0.403,5,PathIntegralAnnealingSampler
5,6,8,True,9.0,8,1.125,0.427,5,PathIntegralAnnealingSampler
5,6,9,True,9.0,8,1.125,0.408,5,PathIntegralAnnealingSampler
5,5,10,True,7.0,6,1.1666666666666667,0.414,5,PathIntegralAnnealingSampler
5,6,11,True,8.0,8,1.0,0.405,5,PathIntegralAnnealingSampler
5,7,12,True,12.0,10,1.2,0.41,5,PathIntegralAnnealingSampler
5,5,13,True,8.0,6,1.3333333333333333,0.411,5,PathIntegralAnnealingSampler
5,7,14,True,11.0,10,1.1,0.397,5,PathIntegralAnnealingSampler
5,8,15,True,13.0,12,1.0833333333333333,0.407,5,PathIntegralAnnealingSampler
5,6,16,True,8.0,8,1.0,0.413,5,PathIntegralAnnealingSampler
5,7,17,True,12.0,10,1.2,0.415,5,PathIntegralAnnealingSampler
5,9,18,True,16.2,14,1.157142857142857,0.413,5,PathIntegralAnnealingSampler
5,10,19,True,20.0,16,1.25,0.433,5,PathIntegralAnnealingSampler
5,4,20,True,6.2,5,1.24,0.421,5,PathIntegralAnnealingSampler
10,26,0,True,68.4,50,1.368,2.422,5,PathIntegralAnnealingSampler
10,27,1,True,77.8,53,1.4679245283018867,2.399,5,PathIntegralAnnealingSampler
10,14,2,True,22.8,19,1.2,2.432,5,PathIntegralAnnealingSampler
10,20,3,True,45.8,35,1.3085714285714285,2.415,5,PathIntegralAnnealingSampler
10,19,4,True,44.8,30,1.4933333333333332,2.432,5,PathIntegralAnnealingSampler
10,23,5,True,57.2,42,1.361904761904762,2.484,5,PathIntegralAnnealingSampler
10,23,6,True,53.8,42,1.2809523809523808,2.467,5,PathIntegralAnnealingSampler
10,21,7,True,54.8,38,1.4421052631578946,2.407,5,PathIntegralAnnealingSampler
10,22,8,True,47.8,40,1.1949999999999998,2.411,5,PathIntegralAnnealingSampler
10,25,9,True,60.4,46,1.3130434782608695,2.42,5,PathIntegralAnnealingSampler
10,21,10,True,52.6,37,1.4216216216216218,2.407,5,PathIntegralAnnealingSampler
10,21,11,True,51.4,35,1.4685714285714286,2.466,5,PathIntegralAnnealingSampler
10,19,12,True,47.6,31,1.535483870967742,2.438,5,PathIntegralAnnealingSampler
10,28,13,True,77.8,56,1.3892857142857142,2.427,5,PathIntegralAnnealingSampler
10,22,14,True,52.6,39,1.3487179487179488,2.441,5,PathIntegralAnnealingSampler
10,25,15,True,70.2,46,1.5260869565217392,2.474,5,PathIntegralAnnealingSampler
10,23,16,True,59.0,41,1.4390243902439024,2.418,5,PathIntegralAnnealingSampler
10,25,17,True,64.0,47,1.3617021276595744,2.414,5,PathIntegralAnnealingSampler
10,20,18,True,43.8,33,1.3272727272727272,2.43,5,PathIntegralAnnealingSampler
10,23,19,True,55.6,43,1.2930232558139536,2.431,5,PathIntegralAnnealingSampler
10,17,20,True,37.4,26,1.4384615384615385,2.456,5,PathIntegralAnnealingSampler
10,24,21,True,61.6,45,1.3688888888888888,2.436,5,PathIntegralAnnealingSampler
10,23,22,True,59.0,41,1.4390243902439024,2.408,5,PathIntegralAnnealingSampler
10,25,23,True,68.0,47,1.446808510638298,2.426,5,PathIntegralAnnealingSampler
10,24,24,True,59.0,44,1.3409090909090908,2.412,5,PathIntegralAnnealingSampler
10,18,25,True,40.4,29,1.393103448275862,2.418,5,PathIntegralAnnealingSampler
10,21,26,True,44.2,38,1.1631578947368422,2.411,5,PathIntegralAnnealingSampler
10,22,27,True,50.6,39,1.2974358974358975,2.409,5,PathIntegralAnnealingSampler
10,21,28,True,49.4,36,1.3722222222222222,2.43,5,PathIntegralAnnealingSampler
10,19,29,True,46.2,30,1.54,2.453,5,PathIntegralAnnealingSampler
10,27,30,True,75.4,53,1.4226415094339624,2.408,5,PathIntegralAnnealingSampler
10,18,31,True,35.2,29,1.213793103448276,2.416,5,PathIntegralAnnealingSampler
10,20,32,True,47.4,32,1.48125,2.445,5,PathIntegralAnnealingSampler
10,25,33,True,65.0,46,1.4130434782608696,2.425,5,PathIntegralAnnealingSampler
10,21,34,True,54.6,37,1.4756756756756757,2.422,5,PathIntegralAnnealingSampler
10,22,35,True,50.0,40,1.25,2.425,5,PathIntegralAnnealingSampler
10,21,36,True,51.8,35,1.48,2.528,5,PathIntegralAnnealingSampler
10,26,37,True,68.2,49,1.3918367346938776,2.421,5,PathIntegralAnnealingSampler
10,21,38,True,51.0,35,1.457142857142857,2.442,5,PathIntegralAnnealingSampler
10,18,39,True,43.0,29,1.4827586206896552,2.425,5,PathIntegralAnnealingSampler
10,24,40,True,61.2,44,1.3909090909090909,2.416,5,PathIntegralAnnealingSampler
10,25,41,True,67.6,46,1.4695652173913043,2.424,5,PathIntegralAnnealingSampler
10,21,42,True,53.2,35,1.52,2.438,5,PathIntegralAnnealingSampler
10,24,43,True,54.0,45,1.2,2.432,5,PathIntegralAnnealingSampler
10,25,44,True,62.8,50,1.256,2.41,5,PathIntegralAnnealingSampler
10,21,45,True,52.6,35,1.502857142857143,2.441,5,PathIntegralAnnealingSampler
10,27,46,True,74.4,52,1.4307692307692308,2.422,5,PathIntegralAnnealingSampler
10,24,47,True,64.0,45,1.4222222222222223,2.451,5,PathIntegralAnnealingSampler
10,19,48,True,41.0,31,1.3225806451612903,2.411,5,PathIntegralAnnealingSampler
10,23,49,True,59.2,43,1.3767441860465117,2.41,5,PathIntegralAnnealingSampler
10,23,50,True,56.0,40,1.4,2.421,5,PathIntegralAnnealingSampler
10,22,51,True,58.6,38,1.5421052631578949,2.41,5,PathIntegralAnnealingSampler
10,19,52,True,45.2,31,1.4580645161290324,2.448,5,PathIntegralAnnealingSampler
10,25,53,True,60.8,49,1.2408163265306122,2.481,5,PathIntegralAnnealingSampler
10,21,54,True,52.0,35,1.4857142857142858,2.42,5,PathIntegralAnnealingSampler
10,21,55,True,53.4,37,1.4432432432432432,2.426,5,PathIntegralAnnealingSampler
10,26,56,True,69.6,49,1.420408163265306,2.412,5,PathIntegralAnnealingSampler
10,25,57,True,65.2,49,1.3306122448979592,2.422,5,PathIntegralAnnealingSampler
10,21,58,True,45.6,37,1.2324324324324325,2.42,5,PathIntegralAnnealingSampler
10,26,59,True,69.0,51,1.3529411764705883,2.402,5,PathIntegralAnnealingSampler
10,22,60,True,53.0,40,1.325,2.424,5,PathIntegralAnnealingSampler
10,21,61,True,48.4,36,1.3444444444444443,2.409,5,PathIntegralAnnealingSampler
10,27,62,True,74.0,53,1.3962264150943395,2.428,5,PathIntegralAnnealingSampler
10,16,63,True,35.4,24,1.4749999999999999,2.435,5,PathIntegralAnnealingSampler
10,19,64,True,43.8,31,1.4129032258064516,2.427,5,PathIntegralAnnealingSampler
10,25,65,True,62.4,47,1.327659574468085,2.404,5,PathIntegralAnnealingSampler
10,20,66,True,48.0,34,1.411764705882353,2.417,5,PathIntegralAnnealingSampler
10,24,67,True,64.4,44,1.4636363636363638,2.42,5,PathIntegralAnnealingSampler
10,24,68,True,62.0,43,1.441860465116279,2.443,5,PathIntegralAnnealingSampler
10,20,69,True,47.6,32,1.4875,2.446,5,PathIntegralAnnealingSampler
10,24,70,True,63.2,43,1.4697674418604652,2.483,5,PathIntegralAnnealingSampler
10,25,71,True,69.4,46,1.5086956521739132,2.433,5,PathIntegralAnnealingSampler
10,19,72,True,45.0,31,1.4516129032258065,2.427,5,PathIntegralAnnealingSampler
10,23,73,True,55.8,42,1.3285714285714285,2.414,5,PathIntegralAnnealingSampler
10,28,74,True,79.2,56,1.4142857142857144,2.42,5,PathIntegralAnnealingSampler
10,27,75,True,68.4,54,1.2666666666666668,2.422,5,PathIntegralAnnealingSampler
10,13,76,True,24.0,18,1.3333333333333333,2.437,5,PathIntegralAnnealingSampler
10,20,77,True,51.4,34,1.511764705882353,2.475,5,PathIntegralAnnealingSampler
10,23,78,True,56.6,40,1.415,2.47,5,PathIntegralAnnealingSampler
10,26,79,True,64.8,51,1.2705882352941176,2.42,5,PathIntegralAnnealingSampler
10,20,80,True,51.8,33,1.5696969696969696,2.429,5,PathIntegralAnnealingSampler
10,20,81,True,47.2,34,1.3882352941176472,2.431,5,PathIntegralAnnealingSampler
10,23,82,True,58.8,42,1.4,2.441,5,PathIntegralAnnealingSampler
10,26,83,True,67.8,51,1.3294117647058823,2.466,5,PathIntegralAnnealingSampler
10,19,84,True,42.4,32,1.325,2.434,5,PathIntegralAnnealingSampler
10,19,85,True,38.4,32,1.2,2.425,5,PathIntegralAnnealingSampler
10,22,86,True,54.4,39,1.3948717948717948,2.419,5,PathIntegralAnnealingSampler
10,22,87,True,53.4,38,1.4052631578947368,2.432,5,PathIntegralAnnealingSampler
10,28,88,True,72.0,57,1.263157894736842,2.404,5,PathIntegralAnnealingSampler
10,20,89,True,49.6,35,1.4171428571428573,2.431,5,PathIntegralAnnealingSampler
10,22,90,True,53.2,39,1.3641025641025641,2.458,5,PathIntegralAnnealingSampler
10,19,91,True,45.2,31,1.4580645161290324,2.438,5,PathIntegralAnnealingSampler
10,25,92,True,65.8,47,1.4,2.418,5,PathIntegralAnnealingSampler
10,23,93,True,56.4,41,1.3756097560975609,2.428,5,PathIntegralAnnealingSampler
10,24,94,True,57.6,45,1.28,2.431,5,PathIntegralAnnealingSampler
10,20,95,True,42.8,34,1.2588235294117647,2.432,5,PathIntegralAnnealingSampler
10,17,96,True,30.4,25,1.216,2.825,5,PathIntegralAnnealingSampler
10,19,97,True,43.8,30,1.46,2.826,5,PathIntegralAnnealingSampler
10,26,98,True,72.0,49,1.469387755102041,2.689,5,PathIntegralAnnealingSampler
10,22,99,True,52.4,39,1.3435897435897435,2.606,5,PathIntegralAnnealingSampler
15,52,0,True,206.4,127,1.6251968503937009,8.075,5,PathIntegralAnnealingSampler
15,54,1,True,212.4,134,1.5850746268656717,7.565,5,PathIntegralAnnealingSampler
15,47,2,True,168.4,106,1.588679245283019,7.199,5,PathIntegralAnnealingSampler
15,53,3,True,192.2,127,1.5133858267716536,7.253,5,PathIntegralAnnealingSampler
15,45,4,True,166.2,97,1.71340206185567,7.343,5,PathIntegralAnnealingSampler
15,53,5,True,182.2,130,1.4015384615384614,7.277,5,PathIntegralAnnealingSampler
15,56,6,True,211.0,140,1.5071428571428571,7.386,5,PathIntegralAnnealingSampler
15,50,7,True,188.66666666666663,118,1.5988700564971747,8.616,5,PathIntegralAnnealingSampler
15,53,8,True,190.2,129,1.4744186046511627,7.988,5,PathIntegralAnnealingSampler
15,51,9,True,188.0,121,1.5537190082644627,7.434,5,PathIntegralAnnealingSampler
15,45,10,True,152.6,95,1.6063157894736841,7.438,5,PathIntegralAnnealingSampler
15,47,11,True,174.2,104,1.6749999999999998,7.444,5,PathIntegralAnnealingSampler
15,51,12,True,192.75,119,1.6197478991596639,7.392,5,PathIntegralAnnealingSampler
15,53,13,True,211.4,126,1.6777777777777778,7.477,5,PathIntegralAnnealingSampler
15,54,14,True,201.6,131,1.5389312977099237,7.615,5,PathIntegralAnnealingSampler
15,50,15,True,190.0,120,1.5833333333333333,7.404,5,PathIntegralAnnealingSampler
15,52,16,True,184.0,124,1.4838709677419355,7.966,5,PathIntegralAnnealingSampler
15,51,17,True,191.8,123,1.5593495934959352,7.364,5,PathIntegralAnnealingSampler
15,56,18,True,221.2,140,1.5799999999999998,7.343,5,PathIntegralAnnealingSampler
15,45,19,True,153.6,99,1.5515151515151515,7.464,5,PathIntegralAnnealingSampler
15,54,20,True,202.8,130,1.56,7.363,5,PathIntegralAnnealingSampler
15,50,21,True,188.6,114,1.6543859649122807,7.833,5,PathIntegralAnnealingSampler
15,54,22,True,214.4,129,1.662015503875969,7.374,5,PathIntegralAnnealingSampler
15,55,23,True,223.0,133,1.6766917293233083,7.416,5,PathIntegralAnnealingSampler
15,56,24,True,227.6,139,1.637410071942446,7.423,5,PathIntegralAnnealingSampler
15,53,25,True,185.8,135,1.3762962962962964,7.337,5,PathIntegralAnnealingSampler
15,57,26,True,227.4,145,1.5682758620689656,7.54,5,PathIntegralAnnealingSampler
15,57,27,True,231.33333333333331,145,1.5954022988505745,7.546,5,PathIntegralAnnealingSampler
15,48,28,True,179.0,106,1.6886792452830188,7.39,5,PathIntegralAnnealingSampler
15,52,29,True,197.6,121,1.6330578512396694,7.547,5,PathIntegralAnnealingSampler
15,60,30,True,242.2,155,1.5625806451612902,7.329,5,PathIntegralAnnealingSampler
15,56,31,True,224.4,140,1.602857142857143,7.318,5,PathIntegralAnnealingSampler
15,54,32,True,203.2,132,1.5393939393939393,7.318,5,PathIntegralAnnealingSampler
15,53,33,True,201.0,126,1.5952380952380953,7.317,5,PathIntegralAnnealingSampler
15,52,34,True,191.0,122,1.5655737704918034,7.304,5,PathIntegralAnnealingSampler
15,53,35,True,207.8,125,1.6624,7.527,5,PathIntegralAnnealingSampler
15,39,36,True,134.2,77,1.7428571428571427,7.383,5,PathIntegralAnnealingSampler
15,56,37,True,208.25,143,1.4562937062937062,7.386,5,PathIntegralAnnealingSampler
15,47,38,True,166.6,104,1.6019230769230768,7.37,5,PathIntegralAnnealingSampler
15,54,39,True,209.4,130,1.6107692307692307,7.343,5,PathIntegralAnnealingSampler
15,54,40,True,202.0,134,1.507462686567164,7.351,5,PathIntegralAnnealingSampler
15,45,41,True,150.0,101,1.4851485148514851,7.52,5,PathIntegralAnnealingSampler
15,44,42,True,164.8,96,1.7166666666666668,7.488,5,PathIntegralAnnealingSampler
