n,m,graph_id,feasible,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,solver
5,5,0,True,6.2,6.0,1.0333333333333334,0.454,5,PathIntegralAnnealingSampler
5,5,1,True,6.2,6.0,1.0333333333333334,0.432,5,PathIntegralAnnealingSampler
5,4,2,True,4.4,4.0,1.1,0.449,5,PathIntegralAnnealingSampler
5,7,3,True,10.0,10.0,1.0,0.415,5,PathIntegralAnnealingSampler
5,5,4,True,7.0,6.0,1.1666666666666667,0.432,5,PathIntegralAnnealingSampler
5,8,5,True,14.0,13.0,1.0769230769230769,0.43,5,PathIntegralAnnealingSampler
5,4,6,True,5.0,4.5,1.1111111111111112,0.417,5,PathIntegralAnnealingSampler
5,6,7,True,10.2,9.0,1.1333333333333333,0.403,5,PathIntegralAnnealingSampler
5,6,8,True,9.0,9.0,1.0,0.427,5,PathIntegralAnnealingSampler
5,6,9,True,9.0,8.0,1.125,0.408,5,PathIntegralAnnealingSampler
5,5,10,True,7.0,7.0,1.0,0.414,5,PathIntegralAnnealingSampler
5,6,11,True,8.0,8.0,1.0,0.405,5,PathIntegralAnnealingSampler
5,7,12,True,12.0,11.0,1.0909090909090908,0.41,5,PathIntegralAnnealingSampler
5,5,13,True,8.0,8.0,1.0,0.411,5,PathIntegralAnnealingSampler
5,7,14,True,11.0,10.0,1.1,0.397,5,PathIntegralAnnealingSampler
5,8,15,True,13.0,13.0,1.0,0.407,5,PathIntegralAnnealingSampler
5,6,16,True,8.0,8.0,1.0,0.413,5,PathIntegralAnnealingSampler
5,7,17,True,12.0,10.0,1.2,0.415,5,PathIntegralAnnealingSampler
5,9,18,True,16.2,16.0,1.0125,0.413,5,PathIntegralAnnealingSampler
5,10,19,True,20.0,20.0,1.0,0.433,5,PathIntegralAnnealingSampler
5,4,20,True,6.2,5.0,1.24,0.421,5,PathIntegralAnnealingSampler
10,26,0,True,68.4,54.0,1.2666666666666668,2.422,5,PathIntegralAnnealingSampler
10,27,1,True,77.8,58.0,1.3413793103448275,2.399,5,PathIntegralAnnealingSampler
10,14,2,True,22.8,21.0,1.0857142857142859,2.432,5,PathIntegralAnnealingSampler
10,20,3,True,45.8,35.0,1.3085714285714285,2.415,5,PathIntegralAnnealingSampler
10,19,4,True,44.8,33.0,1.3575757575757574,2.432,5,PathIntegralAnnealingSampler
10,23,5,True,57.2,43.0,1.330232558139535,2.484,5,PathIntegralAnnealingSampler
10,23,6,True,53.8,43.0,1.2511627906976743,2.467,5,PathIntegralAnnealingSampler
10,21,7,True,54.8,37.5,1.4613333333333332,2.407,5,PathIntegralAnnealingSampler
10,22,8,True,47.8,40.0,1.1949999999999998,2.411,5,PathIntegralAnnealingSampler
10,25,9,True,60.4,50.0,1.208,2.42,5,PathIntegralAnnealingSampler
