solver_name,beta_schedule_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
QWaveSampler_default,default,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.1722064018249512
QWaveSampler_default,default,ENZYMES_g154,9,16,exact,85,85,True,53,56,27,26,26,1.0384615384615385,0.35378217697143555
QWaveSampler_default,default,ENZYMES_g487,15,27,exact,274,274,True,129,97,49,44,44,1.9318181818181819,1.3959629535675049
QWaveSampler_default,default,PROTEINS_g1046,13,22,exact,190,190,True,101,109,34,41,34,1.9705882352941178,0.9324243068695068
QWaveSampler_default,default,PROTEINS_g670,14,27,exact,247,247,True,138,144,46,75,46,2.0,1.1546666622161865
QWaveSampler_default,default,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,1.3988628387451172
QWaveSampler_default,default,iscas89-s27,9,8,exact,52,52,True,18,25,12,11,11,0.6363636363636364,0.34758830070495605
QWaveSampler_default,default,wafa-padgett,15,27,exact,274,274,True,149,138,82,68,68,1.1911764705882353,1.4006500244140625
QWaveSampler_linear,linear,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.2319846153259277
QWaveSampler_linear,linear,ENZYMES_g154,9,16,exact,85,85,True,52,56,27,26,26,1.0,0.37921619415283203
QWaveSampler_linear,linear,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,1.4701123237609863
QWaveSampler_linear,linear,PROTEINS_g1046,13,22,exact,190,190,True,86,109,34,41,34,1.5294117647058822,1.0312211513519287
QWaveSampler_linear,linear,PROTEINS_g670,14,27,exact,247,247,True,124,144,46,75,46,1.6956521739130435,1.2693564891815186
QWaveSampler_linear,linear,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,1.5028984546661377
QWaveSampler_linear,linear,iscas89-s27,9,8,exact,52,52,True,23,25,12,11,11,1.0909090909090908,0.3825693130493164
QWaveSampler_linear,linear,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,1.4848368167877197
QWaveSampler_exponential,exponential,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.166844129562378
QWaveSampler_exponential,exponential,ENZYMES_g154,9,16,exact,85,85,True,48,56,27,26,26,0.8461538461538461,0.48672008514404297
QWaveSampler_exponential,exponential,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,1.3993699550628662
QWaveSampler_exponential,exponential,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,0.9556853771209717
QWaveSampler_exponential,exponential,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,1.164442539215088
QWaveSampler_exponential,exponential,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,1.4212000370025635
QWaveSampler_exponential,exponential,iscas89-s27,9,8,exact,52,52,True,22,25,12,11,11,1.0,0.3510298728942871
QWaveSampler_exponential,exponential,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,1.3808724880218506
