solver_name,sampler_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,N/A,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,4.994432210922241
OpenJij,N/A,ENZYMES_g154,9,16,exact,85,85,True,53,56,27,26,26,1.0384615384615385,5.4380042552948
OpenJij,N/A,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,5.671881437301636
OpenJij,N/A,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,4.503706216812134
OpenJij,N/A,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,4.959852695465088
OpenJij,N/A,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,5.242157459259033
OpenJij,N/A,iscas89-s27,9,8,exact,52,52,False,,25,12,11,11,,4.315355062484741
OpenJij,N/A,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,5.081748008728027
QWaveSampler_path,path,ENZYMES_g124,14,31,exact,272,272,True,104,126,75,61,61,0.7049180327868853,24.77054762840271
QWaveSampler_path,path,ENZYMES_g154,9,16,exact,85,85,True,28,56,27,26,26,0.07692307692307693,7.328760623931885
QWaveSampler_path,path,ENZYMES_g487,15,27,exact,274,274,True,108,97,49,44,44,1.4545454545454546,31.532513856887817
QWaveSampler_path,path,PROTEINS_g1046,13,22,exact,190,190,True,85,109,34,41,34,1.5,20.775579929351807
QWaveSampler_path,path,PROTEINS_g670,14,27,exact,247,247,True,104,144,46,75,46,1.2608695652173914,16.339967250823975
QWaveSampler_path,path,PROTEINS_g751,15,28,exact,282,282,True,150,147,60,45,45,2.3333333333333335,18.234774351119995
QWaveSampler_path,path,iscas89-s27,9,8,exact,52,52,True,14,25,12,11,11,0.2727272727272727,3.8445329666137695
QWaveSampler_path,path,wafa-padgett,15,27,exact,274,274,True,106,138,82,68,68,0.5588235294117647,15.386577367782593
SimulatedBifurcation,N/A,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,2.643312454223633
SimulatedBifurcation,N/A,ENZYMES_g154,9,16,exact,85,85,True,34,56,27,26,26,0.3076923076923077,1.2268190383911133
SimulatedBifurcation,N/A,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,2.9109690189361572
SimulatedBifurcation,N/A,PROTEINS_g1046,13,22,exact,190,190,True,73,109,34,41,34,1.1470588235294117,2.2201404571533203
SimulatedBifurcation,N/A,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,2.5389516353607178
SimulatedBifurcation,N/A,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,2.9094507694244385
SimulatedBifurcation,N/A,iscas89-s27,9,8,exact,52,52,True,16,25,12,11,11,0.45454545454545453,1.235224962234497
SimulatedBifurcation,N/A,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,2.8899147510528564
OpenJij,N/A,ENZYMES_g124,14,31,lucas,7,7,True,62,126,75,61,61,0.01639344262295082,2.2279460430145264
OpenJij,N/A,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,1.137007236480713
OpenJij,N/A,ENZYMES_g487,15,27,lucas,7,7,True,50,97,49,44,44,0.13636363636363635,2.4052834510803223
OpenJij,N/A,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,1.9622442722320557
OpenJij,N/A,PROTEINS_g670,14,27,lucas,6,6,True,43,144,46,75,46,-0.06521739130434782,2.190552234649658
OpenJij,N/A,PROTEINS_g751,15,28,lucas,6,6,True,47,147,60,45,45,0.044444444444444446,2.5216562747955322
OpenJij,N/A,iscas89-s27,9,8,lucas,4,4,True,11,25,12,11,11,0.0,1.1727409362792969
OpenJij,N/A,wafa-padgett,15,27,lucas,9,9,True,68,138,82,68,68,0.0,2.418964385986328
QWaveSampler_path,path,ENZYMES_g124,14,31,lucas,7,7,True,62,126,75,61,61,0.01639344262295082,12.79390001296997
QWaveSampler_path,path,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,3.8402161598205566
QWaveSampler_path,path,ENZYMES_g487,15,27,lucas,7,7,True,45,97,49,44,44,0.022727272727272728,15.710233449935913
QWaveSampler_path,path,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,10.979853391647339
QWaveSampler_path,path,PROTEINS_g670,14,27,lucas,6,6,True,43,144,46,75,46,-0.06521739130434782,13.437390804290771
