solver_id,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
0,ENZYMES_g124,14,31,exact,272,272,True,161,126,75,61,61,1.639344262295082,1.2731983661651611
0,ENZYMES_g154,9,16,exact,85,85,True,42,56,27,26,26,0.6153846153846154,0.4015977382659912
0,ENZYMES_g487,15,27,exact,274,274,True,145,97,49,44,44,2.2954545454545454,1.502310037612915
0,PROTEINS_g1046,13,22,exact,190,190,True,99,109,34,41,34,1.911764705882353,1.0248844623565674
0,PROTEINS_g670,14,27,exact,247,247,True,111,144,46,75,46,1.4130434782608696,1.2338578701019287
0,PROTEINS_g751,15,28,exact,282,282,True,136,147,60,45,45,2.022222222222222,1.5166807174682617
0,iscas89-s27,9,8,exact,52,52,True,17,25,12,11,11,0.5454545454545454,0.4170830249786377
0,wafa-padgett,15,27,exact,274,274,True,146,138,82,68,68,1.1470588235294117,1.568035364151001
0,ENZYMES_g124,14,31,lucas,7,7,True,61,126,75,61,61,0.0,2.260401487350464
0,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.834369421005249
0,ENZYMES_g487,15,27,lucas,7,7,True,44,97,49,44,44,0.0,2.6116137504577637
0,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,2.1947507858276367
0,PROTEINS_g670,14,27,lucas,6,6,True,43,144,46,75,46,-0.06521739130434782,2.4051132202148438
0,PROTEINS_g751,15,28,lucas,6,6,True,45,147,60,45,45,0.0,2.8914883136749268
0,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,0.9758598804473877
0,wafa-padgett,15,27,lucas,9,9,True,70,138,82,68,68,0.029411764705882353,2.3035457134246826
