solver_name,beta_schedule_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
QWaveSampler_default,default,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.1546862125396729
QWaveSampler_default,default,ENZYMES_g154,9,16,exact,85,85,True,53,56,27,26,26,1.0384615384615385,0.3447387218475342
QWaveSampler_default,default,ENZYMES_g487,15,27,exact,274,274,True,129,97,49,44,44,1.9318181818181819,1.3850960731506348
QWaveSampler_default,default,PROTEINS_g1046,13,22,exact,190,190,True,101,109,34,41,34,1.9705882352941178,0.9362504482269287
QWaveSampler_default,default,PROTEINS_g670,14,27,exact,247,247,True,138,144,46,75,46,2.0,1.1565964221954346
QWaveSampler_default,default,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,1.3855063915252686
QWaveSampler_default,default,iscas89-s27,9,8,exact,52,52,True,18,25,12,11,11,0.6363636363636364,0.35552358627319336
QWaveSampler_default,default,wafa-padgett,15,27,exact,274,274,True,149,138,82,68,68,1.1911764705882353,1.3789575099945068
QWaveSampler_linear,linear,ENZYMES_g124,14,31,exact,272,272,True,137,126,75,61,61,1.2459016393442623,2.83256459236145
QWaveSampler_linear,linear,ENZYMES_g154,9,16,exact,85,85,True,42,56,27,26,26,0.6153846153846154,0.8419604301452637
QWaveSampler_linear,linear,ENZYMES_g487,15,27,exact,274,274,True,127,97,49,44,44,1.8863636363636365,3.3692266941070557
QWaveSampler_linear,linear,PROTEINS_g1046,13,22,exact,190,190,True,100,109,34,41,34,1.9411764705882353,2.2198705673217773
QWaveSampler_linear,linear,PROTEINS_g670,14,27,exact,247,247,True,108,144,46,75,46,1.3478260869565217,2.7786974906921387
QWaveSampler_linear,linear,PROTEINS_g751,15,28,exact,282,282,True,144,147,60,45,45,2.2,7.532377243041992
QWaveSampler_linear,linear,iscas89-s27,9,8,exact,52,52,True,17,25,12,11,11,0.5454545454545454,0.848665714263916
QWaveSampler_linear,linear,wafa-padgett,15,27,exact,274,274,True,142,138,82,68,68,1.088235294117647,3.363030195236206
QWaveSampler_exponential,exponential,ENZYMES_g124,14,31,exact,272,272,False,,126,75,61,61,,1.268876552581787
QWaveSampler_exponential,exponential,ENZYMES_g154,9,16,exact,85,85,False,,56,27,26,26,,0.40494251251220703
QWaveSampler_exponential,exponential,ENZYMES_g487,15,27,exact,274,274,False,,97,49,44,44,,1.5604190826416016
QWaveSampler_exponential,exponential,PROTEINS_g1046,13,22,exact,190,190,False,,109,34,41,34,,1.0111784934997559
QWaveSampler_exponential,exponential,PROTEINS_g670,14,27,exact,247,247,False,,144,46,75,46,,1.2539896965026855
QWaveSampler_exponential,exponential,PROTEINS_g751,15,28,exact,282,282,False,,147,60,45,45,,1.5063631534576416
QWaveSampler_exponential,exponential,iscas89-s27,9,8,exact,52,52,False,,25,12,11,11,,0.3675825595855713
QWaveSampler_exponential,exponential,wafa-padgett,15,27,exact,274,274,False,,138,82,68,68,,1.513458490371704
QWaveSampler_default,default,ENZYMES_g124,14,31,lucas,7,7,True,64,126,75,61,61,0.04918032786885246,1.1558113098144531
QWaveSampler_default,default,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.3432445526123047
QWaveSampler_default,default,ENZYMES_g487,15,27,lucas,7,7,True,45,97,49,44,44,0.022727272727272728,1.3873507976531982
QWaveSampler_default,default,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,0.9436466693878174
QWaveSampler_default,default,PROTEINS_g670,14,27,lucas,6,6,True,44,144,46,75,46,-0.043478260869565216,1.1552040576934814
QWaveSampler_default,default,PROTEINS_g751,15,28,lucas,6,6,True,50,147,60,45,45,0.1111111111111111,1.412304162979126
QWaveSampler_default,default,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,0.34104299545288086
QWaveSampler_default,default,wafa-padgett,15,27,lucas,9,9,True,75,138,82,68,68,0.10294117647058823,1.3928892612457275
QWaveSampler_linear,linear,ENZYMES_g124,14,31,lucas,7,7,True,61,126,75,61,61,0.0,3.15874981880188
QWaveSampler_linear,linear,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,1.0387215614318848
QWaveSampler_linear,linear,ENZYMES_g487,15,27,lucas,7,7,True,44,97,49,44,44,0.0,3.89896297454834
QWaveSampler_linear,linear,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,2.7450358867645264
QWaveSampler_linear,linear,PROTEINS_g670,14,27,lucas,6,6,True,43,144,46,75,46,-0.06521739130434782,5.61385178565979
QWaveSampler_linear,linear,PROTEINS_g751,15,28,lucas,6,6,True,45,147,60,45,45,0.0,3.935465097427368
QWaveSampler_linear,linear,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,1.0917878150939941
QWaveSampler_linear,linear,wafa-padgett,15,27,lucas,9,9,True,68,138,82,68,68,0.0,3.7194104194641113
QWaveSampler_exponential,exponential,ENZYMES_g124,14,31,lucas,7,7,False,,126,75,61,61,,1.1891677379608154
QWaveSampler_exponential,exponential,ENZYMES_g154,9,16,lucas,5,5,True,30,56,27,26,26,0.15384615384615385,0.3556251525878906
QWaveSampler_exponential,exponential,ENZYMES_g487,15,27,lucas,7,7,False,,97,49,44,44,,1.4625928401947021
QWaveSampler_exponential,exponential,PROTEINS_g1046,13,22,lucas,5,5,True,58,109,34,41,34,0.7058823529411765,0.9568965435028076
QWaveSampler_exponential,exponential,PROTEINS_g670,14,27,lucas,6,6,False,,144,46,75,46,,1.1971876621246338
QWaveSampler_exponential,exponential,PROTEINS_g751,15,28,lucas,6,6,False,,147,60,45,45,,1.4294803142547607
QWaveSampler_exponential,exponential,iscas89-s27,9,8,lucas,4,4,True,19,25,12,11,11,0.7272727272727273,0.34853363037109375
QWaveSampler_exponential,exponential,wafa-padgett,15,27,lucas,9,9,False,,138,82,68,68,,1.4888792037963867
